round,max_mass,avg_mass,total_kills,avg_kills,timestamp
0,75.1864349467317,65.01139298323011,0,0.0,2025-04-15 09:25:40
1,71.08445681018785,64.41497731403642,0,0.0,2025-04-15 09:29:40
2,71.95137221304267,65.34120356229762,0,0.0,2025-04-15 09:33:40
3,76.31513611335164,63.872700483437974,0,0.0,2025-04-15 09:37:40
4,69.15923654870235,64.77228385279454,0,0.0,2025-04-15 09:41:40
5,69.89277502002142,64.86638977629012,0,0.0,2025-04-15 09:45:40
6,73.32121111928817,63.001508365845226,0,0.0,2025-04-15 09:49:41
7,74.67931440498714,66.79475710668248,0,0.0,2025-04-15 09:53:41
8,66.39906445581025,58.79693297019296,0,0.0,2025-04-15 09:57:41
9,73.87827826904959,65.7559129989935,0,0.0,2025-04-15 10:01:41
10,66.79025462339536,61.53083203001355,0,0.0,2025-04-15 10:05:41
11,68.44705983458715,62.31873268307986,0,0.0,2025-04-15 10:09:41
12,69.33253204664834,60.411329171766496,0,0.0,2025-04-15 10:13:41
13,72.97259759662732,66.55444750633565,0,0.0,2025-04-15 10:17:41
14,41.8210473326519,41.035834690219765,0,0.0,2025-04-15 10:25:39
15,49.949974974962835,45.152360795766285,0,0.0,2025-04-15 10:43:47
16,42.408701066759285,40.72462631469471,0,0.0,2025-04-15 10:59:19
17,55.84800253538909,51.51975990040321,0,0.0,2025-04-15 11:03:19
18,66.0378679233647,58.25101852546504,0,0.0,2025-04-15 11:07:19
19,63.92182725798559,57.429628720791015,0,0.0,2025-04-15 11:11:20
20,72.32565243397046,64.0216937624923,0,0.0,2025-04-15 11:15:20
21,67.1341939699832,61.85955271786952,0,0.0,2025-04-15 11:19:20
22,70.746024623291,63.19735785083515,0,0.0,2025-04-15 11:23:20
23,70.92954250521683,64.05788377683834,0,0.0,2025-04-15 11:27:20
24,64.49806073623081,56.74062399143223,0,0.0,2025-04-15 11:31:20
25,65.86349520029697,61.52301578533901,0,0.0,2025-04-15 11:35:20
26,68.79680225126349,63.35454136396389,0,0.0,2025-04-15 11:39:20
27,68.22756041365908,62.72240299614448,0,0.0,2025-04-15 11:43:20
28,69.32532004974519,64.92992274859468,0,0.0,2025-04-15 11:47:20
29,67.13418709987536,62.173325176642365,0,0.0,2025-04-15 11:51:21
30,78.4155596804569,61.75496695006158,0,0.0,2025-04-15 11:55:21
31,69.87131027371707,63.183946714632974,0,0.0,2025-04-15 11:59:21
32,68.43975452907127,63.26973843954853,0,0.0,2025-04-15 12:03:21
33,68.41783393238438,60.181119889554154,0,0.0,2025-04-15 12:07:21
34,75.89466384403487,62.76909636949354,0,0.0,2025-04-15 12:11:21
35,70.56911505750601,63.084897239701526,0,0.0,2025-04-15 12:15:21
36,71.2881476824833,62.66629315841213,0,0.0,2025-04-15 12:19:21
37,72.67048919609087,62.42376179792903,0,0.0,2025-04-15 12:23:21
38,71.97221686178305,63.4698833811308,0,0.0,2025-04-15 12:27:22
39,68.38128398911098,62.942863890311955,0,0.0,2025-04-15 12:31:22
40,66.60330322138418,61.69413998297098,0,0.0,2025-04-15 12:35:22
41,69.54135460285079,62.362929862260124,0,0.0,2025-04-15 12:39:22
42,68.97100840207698,61.36571386476186,0,0.0,2025-04-15 12:43:22
43,73.18469297765917,62.76148491258891,0,0.0,2025-04-15 12:47:22
44,69.49820141557316,62.569312796173016,0,0.0,2025-04-15 12:51:22
45,68.43975452907208,59.85932160359804,0,0.0,2025-04-15 12:55:22
46,71.84705978674069,63.559301427285035,0,0.0,2025-04-15 12:59:23
47,62.99206299209175,58.35229763850447,0,0.0,2025-04-15 13:04:06
48,65.25335238929733,57.752562507362484,0,0.0,2025-04-15 13:09:50
49,55.59642925370674,50.23120535131813,0,0.0,2025-04-15 13:27:37
50,43.276416503083205,41.14540477254904,0,0.0,2025-04-15 13:45:09
51,43.86368693221065,41.328399323143,0,0.0,2025-04-15 13:53:45
52,53.31040812364452,48.26345097724077,0,0.0,2025-04-15 14:10:15
53,71.13367697511102,63.78315287996984,0,0.0,2025-04-15 14:14:16
54,70.41306696913028,61.684960154140526,0,0.0,2025-04-15 14:18:16
55,70.60449688619684,63.35926069220086,0,0.0,2025-04-15 14:22:16
56,66.19667665373856,59.4454911114553,0,0.0,2025-04-15 14:26:16
57,63.332456134272725,58.05002056499038,0,0.0,2025-04-15 14:30:16
58,69.3685807840939,63.73620125844705,0,0.0,2025-04-15 14:34:17
59,65.07687761409228,59.86014552115897,0,0.0,2025-04-15 14:38:17
60,69.83552104766932,62.92537148433011,0,0.0,2025-04-15 14:42:17
61,72.38784428341107,61.969609840446935,0,0.0,2025-04-15 14:46:17
62,67.12674578574244,62.779963244189204,0,0.0,2025-04-15 14:50:17
63,66.58077800686578,62.20947436957481,0,0.0,2025-04-15 14:54:17
64,72.31182475916131,62.19505755422607,0,0.0,2025-04-15 14:58:17
65,70.7460246232911,65.25346311930323,0,0.0,2025-04-15 15:02:18
66,68.4442330799328,62.47500125077893,0,0.0,2025-04-15 15:06:18
67,66.6033032213828,62.17868784283419,0,0.0,2025-04-15 15:10:18
68,72.8766080440036,65.23609180923177,0,0.0,2025-04-15 15:14:18
69,72.96574538781482,64.81822513719477,0,0.0,2025-04-15 15:18:18
70,68.07348970046604,61.85986271323877,0,0.0,2025-04-15 15:22:18
71,72.4775819985372,65.10661791520985,0,0.0,2025-04-15 15:26:18
72,46.87216658103116,44.194486468539026,0,0.0,2025-04-15 15:42:36
73,41.821047332652824,40.74353337900589,0,0.0,2025-04-15 15:56:51
74,48.93776786168365,46.29238677661714,0,0.0,2025-04-15 16:12:49
75,45.792757577903764,43.16535430184369,0,0.0,2025-04-15 16:16:49
76,47.116875957558385,43.82748823504672,0,0.0,2025-04-15 16:32:42
77,55.398555936565785,46.855181860619226,0,0.0,2025-04-15 16:38:52
78,57.367238036753044,51.895723006321404,0,0.0,2025-04-15 16:57:13
79,43.5660418215838,40.967109352318815,0,0.0,2025-04-15 17:13:48
80,50.94114250779904,46.76158000325647,0,0.0,2025-04-15 17:17:48
81,51.89412298131612,46.492240957648455,0,0.0,2025-04-15 17:24:20
82,55.765289293083164,48.294329174804304,0,0.0,2025-04-15 17:28:20
83,56.25833271614023,50.21584501044789,0,0.0,2025-04-15 17:32:20
84,67.72001181334358,63.453963751060584,0,0.0,2025-04-15 17:36:20
85,70.56202944926727,62.958426223487,0,0.0,2025-04-15 17:40:21
86,68.97770667816727,63.39782704537364,0,0.0,2025-04-15 17:44:21
87,59.90826320299991,53.16881376467006,0,0.0,2025-04-15 17:49:10
88,68.9710084020785,64.46645078551477,0,0.0,2025-04-15 17:53:11
89,68.8331315574091,60.571266168241856,0,0.0,2025-04-15 17:57:11
90,65.66582063752499,62.22417228784401,0,0.0,2025-04-15 18:01:11
